,Year_Birth,Education,Marital_Status,Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,web_purchases,cat_purchases,in_store_purchases,NumWebVisitsMonth,Complain,children,accepted_offer,total_purchases,enroll_yr,total_spent
558,1970,Masters,Married,15315.0,27,7,4,13,15,8,17,2,2,0,4,5,0,0,0,6,2013,64
559,1959,College,Coupled,87771.0,61,1492,38,287,50,57,33,1,5,10,4,6,0,1,5,19,2013,1957
560,1978,College,Married,33039.0,4,30,8,12,8,8,12,1,2,0,4,5,0,1,0,6,2013,78
561,1980,College,Single,81741.0,75,249,153,940,58,134,38,0,6,6,7,2,0,0,0,19,2013,1572
562,1971,Masters,Coupled,71499.0,12,465,25,132,136,0,37,2,8,3,13,4,0,1,0,24,2013,795
563,1970,Masters,Married,62466.0,13,129,129,259,168,121,83,5,6,3,12,4,0,1,0,21,2014,889
564,1963,PhD,Single,48799.0,9,174,18,81,28,6,24,3,3,2,7,3,0,1,0,12,2013,331
565,1950,PhD,Coupled,52157.0,48,189,2,29,3,2,40,2,3,2,5,4,0,1,0,10,2014,265
566,1962,College,Single,66565.0,80,747,10,161,65,40,42,4,4,2,9,8,0,1,0,15,2012,1065
567,1951,Masters,Coupled,29298.0,60,6,0,2,2,0,1,1,1,0,2,5,0,2,0,3,2013,11
568,1979,College,Single,47691.0,43,14,0,3,0,0,4,1,1,0,2,6,0,1,0,3,2013,21
569,1970,College,Coupled,38200.0,19,12,0,4,0,0,1,1,1,0,2,7,0,2,0,3,2012,17
570,1974,College,Married,44989.0,26,98,0,106,49,10,106,5,5,1,5,6,0,1,0,11,2012,369
571,1968,PhD,Married,38443.0,58,32,0,5,0,0,1,2,1,0,3,7,0,2,0,4,2014,38
572,1978,Masters,Single,38593.0,42,51,12,49,17,24,24,3,4,1,3,8,0,1,0,8,2013,177
573,1970,PhD,Coupled,64413.0,27,200,5,44,0,10,20,1,5,1,5,5,0,1,0,11,2013,279
574,1981,Masters,Married,36959.0,56,25,6,25,6,0,0,2,2,0,3,8,0,1,0,5,2013,62
575,1977,PhD,Married,61996.0,27,1050,12,144,0,0,24,3,6,4,8,5,0,1,4,18,2013,1230
576,1968,College,Married,51287.0,10,117,0,22,13,0,30,3,4,1,3,7,0,2,0,8,2014,182
577,1970,College,Married,13260.0,48,9,4,17,10,2,7,4,3,0,3,8,0,2,0,6,2013,49
578,1966,PhD,Coupled,47472.0,39,56,0,11,0,0,8,2,2,0,4,5,0,2,0,6,2013,75
579,1956,Masters,Coupled,54603.0,85,145,13,46,17,2,4,6,4,2,4,7,0,2,0,10,2013,227
580,1974,PhD,Married,45207.0,64,203,0,10,0,0,2,5,3,1,6,6,0,2,1,10,2012,215
581,1951,College,Coupled,40689.0,69,270,3,27,39,6,99,7,7,1,5,8,0,1,0,13,2013,444
582,1967,Masters,Coupled,47821.0,54,9,0,16,6,6,10,1,1,0,3,8,0,2,0,4,2013,47
583,1951,Masters,Married,27450.0,57,37,12,23,8,11,52,1,2,1,3,7,0,0,0,6,2013,143
584,1983,College,Coupled,39453.0,64,46,0,7,0,0,2,2,2,0,3,6,0,1,0,5,2014,55
585,1971,Masters,Coupled,26850.0,10,31,1,13,7,2,9,4,2,1,4,4,0,2,0,7,2014,63
586,1955,College,Single,79800.0,65,1060,21,530,32,0,224,1,5,11,5,3,0,0,4,21,2012,1867
587,1961,Masters,Married,61794.0,74,264,47,188,54,47,11,2,4,4,10,2,0,1,0,18,2013,611
588,1955,College,Coupled,53863.0,4,399,4,30,6,4,30,3,7,1,7,7,0,1,1,15,2014,473
589,1959,College,Coupled,24221.0,94,8,9,9,2,5,22,1,1,1,3,4,0,0,0,5,2013,55
590,1984,PhD,Single,39684.0,41,19,0,35,6,4,17,2,2,1,2,7,1,1,1,5,2012,81
591,1975,Masters,Married,92163.0,25,817,183,797,106,163,20,0,5,11,5,2,0,0,3,21,2012,2086
592,1965,Masters,Single,69882.0,94,292,127,635,132,127,165,1,3,7,9,1,0,0,0,19,2013,1478
593,1977,College,Coupled,33178.0,9,12,6,2,11,2,16,1,1,0,3,4,0,1,0,4,2014,49
594,1972,PhD,Married,59973.0,47,130,30,168,20,34,0,1,3,4,7,1,0,0,0,14,2013,382
595,1975,Masters,Coupled,17459.0,12,6,4,16,3,10,30,3,3,1,2,7,0,1,1,6,2013,69
596,1969,College,Single,23910.0,80,16,12,18,7,1,13,1,2,0,3,7,0,1,0,5,2012,67
597,1969,Masters,Married,42169.0,20,19,0,9,0,0,2,2,1,0,3,8,0,2,0,4,2013,30
598,1978,Masters,Married,26224.0,39,4,7,15,13,9,15,3,2,1,3,6,0,1,0,6,2013,63
599,1981,College,Coupled,31089.0,57,31,3,31,2,8,4,3,3,0,4,8,0,1,0,7,2012,79
600,1961,College,Single,30081.0,27,36,0,2,0,0,4,1,1,0,3,7,0,1,0,4,2013,42
601,1960,College,Coupled,62807.0,83,526,28,135,10,21,99,3,5,3,12,5,0,1,0,20,2012,819
602,1955,College,Single,72906.0,79,400,32,519,71,75,54,1,3,4,9,1,0,0,0,16,2013,1151
603,1948,PhD,Married,61467.0,69,410,16,114,0,5,49,3,5,2,10,5,0,2,0,17,2012,594
604,1966,Masters,Coupled,49618.0,77,80,3,26,4,2,14,4,3,1,3,7,0,2,0,7,2013,129
605,1986,Masters,Single,21888.0,15,88,10,46,2,3,64,4,5,1,2,10,0,1,1,8,2012,213
606,1973,College,Single,42429.0,99,55,0,6,2,0,4,2,1,1,3,5,0,1,0,5,2014,67
607,1956,College,Single,26150.0,61,5,1,13,3,5,1,1,1,0,3,7,0,3,0,4,2013,28
608,1975,High_school,Married,30801.0,23,8,4,5,15,2,11,2,1,0,3,7,0,1,0,4,2012,45
609,1965,College,Married,81168.0,84,410,0,592,147,22,22,1,6,4,7,3,0,0,1,17,2014,1193
610,1969,Masters,Single,26877.0,74,101,13,76,20,18,40,2,3,1,6,6,0,0,0,10,2013,268
611,1944,Masters,Single,45006.0,90,162,25,53,16,0,10,1,3,1,7,3,0,0,0,11,2013,266
612,1973,High_school,Married,18978.0,41,2,8,1,4,7,15,1,1,0,3,8,0,1,0,4,2012,37
613,1967,College,Married,22574.0,28,25,0,8,2,0,2,2,2,0,3,7,0,3,0,5,2013,37
614,1969,PhD,Single,48240.0,73,389,91,248,64,49,41,3,6,3,13,5,0,0,1,22,2012,882
615,1974,College,Married,45837.0,88,215,13,87,17,17,24,5,6,2,5,7,0,2,0,13,2013,373
616,1965,Masters,Single,35791.0,94,27,0,5,0,0,3,2,1,0,3,8,0,3,0,4,2013,35
617,1976,PhD,Coupled,162397.0,31,85,1,16,2,1,2,0,0,0,1,1,0,2,0,1,2013,107
618,1978,College,Single,54162.0,31,5,6,10,6,5,10,1,1,0,3,4,0,2,0,4,2013,42
619,1960,Masters,Married,30522.0,6,179,8,83,19,11,26,5,1,2,9,2,0,1,0,12,2012,326
620,1961,PhD,Married,54456.0,23,352,0,27,10,0,15,3,6,1,7,6,0,1,0,14,2013,404
621,1971,College,Single,31632.0,92,17,8,12,11,15,32,1,2,1,2,7,0,0,0,5,2013,95
622,1949,College,Single,72298.0,52,625,35,169,58,17,35,1,4,3,6,1,0,0,2,13,2014,939
623,1978,Masters,Single,36975.0,50,10,6,11,0,4,2,1,1,0,3,7,0,1,0,4,2013,33
624,1955,Masters,Married,72635.0,54,390,22,323,104,35,107,1,6,8,6,3,0,0,1,20,2013,981
625,1976,College,Married,13624.0,93,10,2,15,2,1,6,2,2,0,3,6,0,1,0,5,2013,36
626,1975,College,Single,84196.0,56,215,63,507,231,31,190,1,8,4,7,3,0,1,0,19,2013,1237
627,1960,College,Coupled,70971.0,28,1001,17,572,93,125,17,7,11,11,5,7,0,1,1,27,2012,1825
628,1977,PhD,Single,34487.0,94,19,18,33,24,1,8,3,3,0,3,9,0,2,0,6,2012,103
629,1977,College,Single,28769.0,76,41,5,129,10,3,3,3,4,1,4,9,0,1,0,9,2012,191
630,1970,PhD,Married,69084.0,43,1181,107,199,39,30,30,2,7,3,13,8,0,1,0,23,2013,1586
631,1958,PhD,Coupled,65488.0,46,603,45,207,36,18,54,1,3,4,6,1,0,0,0,13,2014,963
632,1970,Masters,Married,62466.0,13,129,129,259,168,121,83,5,6,3,12,4,0,1,0,21,2014,889
633,1960,Masters,Single,32218.0,27,10,24,15,13,1,30,1,2,1,3,7,0,0,2,6,2014,93
634,1973,College,Single,83917.0,12,514,22,732,42,198,79,1,6,7,7,3,0,0,1,20,2013,1587
635,1962,College,Single,46102.0,3,14,0,1,0,0,1,1,1,0,2,7,0,3,0,3,2014,16
636,1952,College,Single,84574.0,72,387,20,713,38,54,163,1,9,11,11,5,0,0,0,31,2013,1375
637,1962,College,Married,56181.0,6,121,103,69,8,44,48,1,4,2,7,4,0,1,0,13,2013,393
638,1950,Masters,Single,63120.0,53,965,69,279,54,41,69,5,8,4,9,7,0,1,1,21,2012,1477
639,1971,College,Married,73691.0,58,707,21,250,85,43,73,2,6,2,8,2,0,1,1,16,2013,1179
640,1960,College,Coupled,63381.0,78,571,50,142,33,50,159,4,4,5,13,2,0,1,0,22,2012,1005
641,1948,PhD,Coupled,76140.0,57,586,66,653,17,0,26,1,5,9,6,2,0,0,0,20,2014,1348
642,1959,PhD,Single,62859.0,37,1063,89,102,16,12,25,4,9,4,6,6,0,1,0,19,2012,1307
643,1964,College,Single,45906.0,20,305,3,27,4,3,144,2,5,4,4,5,0,1,1,13,2013,486
644,1947,Masters,Coupled,77632.0,73,1200,105,758,0,42,147,1,4,2,6,2,0,0,3,12,2013,2252
645,1971,PhD,Married,46463.0,56,163,2,40,8,11,11,7,3,1,6,6,0,2,0,10,2013,235
646,1970,College,Coupled,105471.0,36,1009,181,104,202,21,207,0,9,8,13,3,0,0,3,30,2013,1724
647,1970,Masters,Single,55282.0,9,125,6,73,8,4,19,1,3,1,6,4,0,1,0,10,2013,235
648,1977,Masters,Married,78710.0,42,721,0,152,119,50,50,3,7,6,12,4,0,1,0,25,2014,1092
649,1958,College,Coupled,66886.0,28,315,4,62,41,31,146,2,7,1,7,5,0,1,0,15,2013,599
650,1960,Masters,Single,98777.0,23,1000,19,711,125,115,38,0,4,6,9,1,0,0,1,19,2014,2008
651,1985,College,Coupled,29103.0,38,16,0,17,6,3,6,2,1,0,3,9,0,1,0,4,2012,48
652,1974,College,Married,67445.0,63,757,80,217,29,80,11,5,9,6,12,6,0,1,0,27,2012,1174
653,1950,PhD,Coupled,50616.0,71,30,2,25,0,1,9,1,1,1,4,2,0,1,0,6,2014,67
654,1955,College,Single,49431.0,9,219,3,100,26,0,17,2,7,1,5,8,0,1,0,13,2012,365
655,1975,College,Single,153924.0,81,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2014,6
656,1953,College,Coupled,61278.0,87,111,3,28,2,6,15,2,3,1,4,6,0,1,0,8,2014,165
657,1958,Masters,Coupled,26490.0,92,45,47,52,21,20,25,2,3,1,5,6,0,0,0,9,2012,210
658,1947,PhD,Coupled,73059.0,36,410,112,420,0,82,71,1,9,3,13,4,0,1,0,25,2013,1095
659,1966,PhD,Single,46734.0,86,100,1,39,6,1,76,4,3,2,3,6,0,3,1,8,2013,223
660,1963,College,Coupled,56253.0,83,509,0,65,7,11,5,4,7,2,9,6,0,1,0,18,2012,597
661,1985,College,Married,19986.0,74,3,6,5,0,2,6,1,0,0,3,7,0,1,0,3,2013,22
662,1975,College,Single,58330.0,87,445,53,213,104,98,151,1,6,4,13,4,0,1,0,23,2013,1064
663,1980,High_school,Married,25965.0,29,2,2,11,41,7,11,1,2,0,3,8,0,0,0,5,2012,74
664,1956,Masters,Coupled,14661.0,88,4,1,11,6,2,2,1,1,0,3,6,0,0,0,4,2013,26
665,1959,College,Married,18690.0,77,6,1,7,23,4,19,1,1,1,2,8,0,0,0,4,2012,60
666,1974,PhD,Coupled,45068.0,25,14,0,3,0,0,3,1,1,0,2,7,0,1,0,3,2013,20
667,1987,High_school,Single,21063.0,34,1,10,11,19,3,15,2,2,0,3,6,0,1,0,5,2013,59
668,1968,PhD,Married,29187.0,43,26,0,6,0,0,2,1,1,0,3,8,0,1,0,4,2013,34
669,1971,Masters,Married,54690.0,76,111,16,37,7,9,18,3,3,1,5,3,0,2,0,9,2013,198
670,1964,PhD,Married,59304.0,81,418,61,428,80,51,10,3,7,8,10,5,0,1,0,25,2013,1048
671,1962,Masters,Single,59247.0,87,327,9,122,19,14,83,5,5,2,9,6,0,2,0,16,2013,574
672,1970,College,Single,66731.0,33,371,159,194,58,106,141,4,4,3,6,3,0,1,0,13,2012,1029
673,1980,College,Married,77353.0,38,275,59,107,69,101,59,2,6,4,8,4,0,1,0,18,2013,670
674,1975,PhD,Single,52614.0,63,789,0,142,12,9,38,2,2,4,8,8,0,1,0,14,2012,990
675,1974,College,Married,26751.0,26,1,1,5,0,3,1,1,1,0,2,8,0,2,0,3,2014,11
676,1963,PhD,Married,81300.0,17,1004,12,145,32,12,36,3,10,3,5,5,0,1,2,18,2012,1241
677,1979,College,Single,70337.0,75,187,81,149,25,43,91,1,2,2,12,1,0,0,0,16,2014,576
678,1985,Masters,Married,36145.0,13,56,4,76,17,1,18,4,4,1,3,9,0,1,2,8,2013,172
679,1980,PhD,Single,65295.0,19,365,32,117,34,110,6,1,3,3,13,2,0,0,0,19,2013,664
680,1963,College,Single,68118.0,51,595,23,123,10,23,154,2,8,9,4,6,0,1,0,21,2013,928
681,1967,College,Single,68743.0,81,1132,134,384,175,134,115,1,11,5,13,7,0,0,0,29,2012,2074
682,1982,Masters,Coupled,41039.0,32,34,11,137,179,61,45,1,8,1,5,8,0,0,0,14,2013,467
683,1955,College,Coupled,38946.0,84,116,6,82,6,6,41,2,3,1,6,5,0,1,0,10,2013,257
684,1967,College,Coupled,65777.0,87,565,32,435,28,32,54,1,2,8,6,1,0,0,0,16,2013,1146
685,1976,PhD,Single,66476.0,99,372,18,126,47,48,78,2,5,2,11,4,0,1,0,18,2013,689
686,1972,PhD,Single,86857.0,96,899,102,838,133,102,40,1,5,6,10,2,0,0,1,21,2012,2114
687,1982,PhD,Married,160803.0,21,55,16,1622,17,3,4,15,0,28,1,0,0,0,0,29,2012,1717
688,1989,PhD,Coupled,77845.0,40,760,40,480,0,40,26,1,3,5,12,1,0,0,2,20,2014,1346
689,1969,PhD,Coupled,69476.0,3,260,86,559,63,9,67,1,4,6,4,2,0,0,0,14,2013,1044
690,1960,PhD,Single,50611.0,98,459,0,24,6,0,4,6,4,5,7,6,0,1,2,16,2012,493
691,1970,College,Single,61209.0,73,466,0,224,119,49,99,1,5,3,4,2,0,0,0,12,2013,957
692,1958,Masters,Coupled,42315.0,90,67,15,80,17,11,80,3,1,4,4,3,0,1,0,9,2013,270
693,1952,High_school,Coupled,13084.0,29,2,0,7,3,7,10,1,1,0,3,6,0,0,0,4,2013,29
694,1949,Masters,Single,47570.0,3,67,1,20,0,2,31,3,2,2,2,7,0,2,1,6,2013,121
695,1961,Masters,Married,61923.0,94,92,4,18,3,3,6,1,2,1,4,3,0,2,0,7,2013,126
696,1995,College,Single,34824.0,65,4,2,11,2,0,4,1,1,0,2,6,0,0,0,3,2014,23
697,1949,PhD,Single,26518.0,33,20,1,28,3,3,2,3,2,0,3,8,0,2,1,5,2013,57
698,1961,College,Single,45938.0,46,273,11,178,62,83,29,2,8,4,6,6,0,0,0,18,2013,636
699,1960,College,Coupled,78468.0,29,434,22,388,104,22,34,1,10,7,10,4,0,0,1,27,2014,1004
700,1973,College,Single,78901.0,99,321,11,309,33,26,34,3,9,3,5,4,0,1,0,17,2013,734
701,1978,College,Married,71427.0,26,212,123,177,15,64,23,2,8,2,8,4,0,2,0,18,2014,614
702,1978,College,Single,71022.0,30,909,12,278,0,12,242,3,5,2,11,8,0,1,1,18,2014,1453
703,1988,Masters,Single,90247.0,27,1184,32,352,21,16,16,1,3,4,7,1,0,0,4,14,2014,1621
704,1968,Masters,Single,41335.0,24,112,19,21,16,14,5,3,4,1,4,7,0,1,0,9,2013,187
705,1986,College,Married,71952.0,93,656,80,455,52,107,93,2,8,4,8,4,0,1,2,20,2013,1443
706,1970,PhD,Single,35682.0,34,23,0,8,6,2,18,1,1,1,3,2,0,1,0,5,2014,57
707,1951,College,Single,43185.0,88,537,6,42,16,6,30,2,9,3,6,8,0,1,0,18,2013,637
708,1948,PhD,Coupled,66375.0,96,712,0,45,0,0,191,3,2,4,5,7,0,1,1,11,2013,948
709,1971,Masters,Married,35178.0,10,23,1,13,2,2,18,1,1,1,2,7,0,1,2,4,2013,59
710,1986,College,Married,25252.0,26,1,3,4,2,2,6,1,1,0,2,8,0,1,0,3,2013,18
711,1965,Masters,Single,55250.0,49,664,58,83,32,0,66,4,7,5,10,5,0,1,0,22,2012,903
712,1975,College,Single,33249.0,11,6,10,21,19,14,42,2,2,1,3,6,0,1,0,6,2013,112
713,1953,College,Coupled,58398.0,44,299,5,201,21,21,49,3,5,4,8,4,0,0,0,17,2013,596
714,1982,College,Coupled,50272.0,75,99,13,66,43,8,4,3,4,1,5,7,0,1,0,10,2013,233
715,1975,PhD,Married,76618.0,64,749,40,294,121,160,147,1,3,2,5,1,0,0,0,10,2012,1511
716,1960,Masters,Single,87305.0,19,345,25,501,63,138,80,1,5,3,8,2,0,0,2,16,2012,1152
717,1978,College,Coupled,25851.0,45,9,4,18,7,5,5,2,2,0,3,7,0,1,0,5,2013,48
718,1970,College,Single,58710.0,77,440,81,368,0,122,174,6,11,5,9,6,0,1,0,25,2013,1185
719,1958,College,Single,45160.0,9,8,2,5,3,0,3,1,1,0,2,7,0,2,0,3,2014,21
720,1965,Masters,Married,74806.0,1,670,9,249,0,28,9,2,5,4,5,4,0,1,0,14,2012,965
721,1954,College,Married,59111.0,90,524,0,134,28,28,155,1,11,1,8,7,0,0,0,20,2013,869
722,1984,PhD,Married,18988.0,43,6,0,6,2,1,1,2,1,0,3,7,0,1,0,4,2014,16
723,1965,College,Married,72190.0,79,597,166,597,172,166,249,1,5,6,4,3,0,0,0,15,2013,1947
724,1976,College,Married,7500.0,19,7,0,12,13,7,32,5,4,1,2,9,0,1,2,7,2012,71
725,1966,College,Married,44794.0,99,54,0,7,0,0,4,1,2,0,3,6,0,1,0,5,2014,65
726,1955,College,Married,80395.0,62,445,25,706,80,76,48,1,6,5,12,2,0,0,1,23,2013,1380
727,1976,Masters,Single,75012.0,41,294,142,218,164,58,151,1,3,8,11,1,0,0,0,22,2014,1027
728,1965,Masters,Married,56962.0,60,292,3,77,10,3,26,7,6,3,5,7,0,3,0,14,2013,411
729,1991,College,Coupled,89891.0,17,412,22,132,59,28,183,1,11,6,8,4,0,0,1,25,2013,836
730,1949,PhD,Single,35946.0,24,8,0,3,0,0,0,1,0,0,3,5,0,2,0,3,2013,11
731,1953,PhD,Coupled,53593.0,60,349,4,78,6,0,43,8,7,2,6,8,0,2,0,15,2012,480
732,1978,College,Married,66373.0,57,328,9,124,12,24,109,7,4,2,10,3,0,2,0,16,2013,606
733,1948,PhD,Single,45072.0,74,144,2,99,7,2,30,5,6,1,4,8,0,3,0,11,2013,284
734,1973,College,Single,89694.0,22,1126,28,211,37,28,42,3,4,3,4,5,0,2,3,11,2013,1472
735,1949,College,Married,72025.0,46,967,0,617,43,50,0,1,4,8,13,2,0,0,4,25,2014,1677
736,1973,College,Married,67432.0,69,432,79,341,177,136,170,2,8,5,4,4,0,1,0,17,2013,1335
737,1952,Masters,Coupled,70545.0,29,138,39,63,55,18,21,1,4,1,7,2,0,1,0,12,2014,334
738,1989,High_school,Married,17487.0,37,0,0,1,7,4,6,1,1,0,2,7,0,1,0,3,2013,18
739,1969,College,Coupled,62882.0,26,509,133,497,78,24,97,2,7,5,6,4,0,1,0,18,2012,1338
740,1953,PhD,Single,64108.0,8,948,10,86,13,21,21,4,6,9,11,5,0,1,0,26,2013,1099
741,1956,Masters,Coupled,34941.0,26,39,2,25,4,3,24,2,3,0,3,8,0,2,0,6,2013,97
742,1950,PhD,Single,48767.0,79,28,1,21,3,0,10,3,2,1,3,5,0,3,0,6,2014,63
743,1978,Masters,Coupled,38702.0,71,13,11,24,13,8,40,2,3,0,4,6,0,1,0,7,2013,109
744,1964,College,Married,82224.0,83,307,26,360,138,31,40,1,6,9,5,3,0,0,1,20,2014,902
745,1952,College,Coupled,83844.0,57,901,31,345,75,31,191,1,4,4,11,1,0,0,1,19,2013,1574
746,1975,Masters,Married,17003.0,37,2,5,12,4,8,7,3,2,0,4,5,0,1,0,6,2013,38
747,1995,College,Single,71163.0,30,283,17,372,138,106,44,1,3,8,12,1,0,0,0,23,2014,960
748,1970,College,Single,33697.0,34,4,3,7,0,3,11,1,1,0,2,7,0,1,1,3,2013,28
749,1954,Masters,Married,63564.0,0,769,80,252,15,34,65,1,10,10,7,6,0,0,2,27,2014,1215
750,1972,PhD,Coupled,83443.0,89,518,42,742,55,56,84,1,6,10,5,2,0,0,0,21,2013,1497
751,1958,PhD,Coupled,51518.0,92,350,8,66,17,4,4,2,3,2,10,3,0,1,0,15,2013,449
752,1975,College,Single,58330.0,87,445,53,213,104,98,151,1,6,4,13,4,0,1,0,23,2013,1064
753,1969,College,Married,80952.0,20,778,178,689,41,27,44,1,8,5,11,8,0,0,4,24,2013,1757
754,1979,College,Coupled,75507.0,56,709,93,374,104,80,80,1,8,6,6,3,0,0,0,20,2014,1440
755,1978,Masters,Coupled,63855.0,28,359,35,314,93,116,89,1,7,3,13,4,0,0,0,23,2013,1006
756,1972,PhD,Coupled,62220.0,55,799,12,375,16,12,12,5,7,6,5,6,0,1,1,18,2012,1226
757,1964,College,Married,58512.0,25,895,10,101,13,0,152,5,3,4,8,8,0,1,0,15,2013,1171
758,1979,Masters,Married,40662.0,0,40,2,23,0,4,23,2,2,1,3,4,0,1,0,6,2013,92
759,1959,PhD,Married,38829.0,86,76,0,7,0,0,16,1,3,2,2,5,0,1,0,7,2014,99
760,1981,Masters,Married,35523.0,8,11,5,22,12,5,11,2,3,0,3,7,0,1,0,6,2013,66
761,1967,College,Single,79146.0,33,245,16,223,21,43,16,2,8,1,8,6,0,2,0,17,2014,564
762,1988,Masters,Married,78285.0,13,647,107,391,175,67,40,1,6,4,10,3,0,0,0,20,2013,1427
763,1978,PhD,Single,31626.0,12,39,1,9,2,1,34,1,2,1,2,7,0,1,2,5,2013,86
764,1952,College,Single,75127.0,92,203,35,305,46,17,227,1,2,11,5,1,0,0,0,18,2014,833
765,1955,College,Married,48726.0,90,138,3,38,4,0,59,3,3,2,4,6,0,1,0,9,2013,242
766,1977,College,Married,74985.0,8,587,51,898,247,0,86,1,3,6,7,2,0,0,0,16,2012,1869
767,1987,College,Coupled,67430.0,6,595,97,291,127,133,121,1,11,5,12,6,0,0,0,28,2012,1364
768,1965,Masters,Married,46891.0,91,43,12,23,29,15,61,1,2,1,4,4,0,1,0,7,2013,183
769,1956,Masters,Married,62058.0,52,301,7,74,10,0,58,4,6,1,7,6,0,1,0,14,2013,450
770,1979,College,Married,72063.0,3,180,32,348,76,32,90,2,5,2,12,2,0,1,0,19,2013,758
771,1951,PhD,Married,78939.0,57,794,115,243,150,0,205,1,8,5,6,3,0,0,0,19,2013,1507
772,1965,College,Single,42720.0,9,392,5,91,28,26,112,8,7,3,7,8,0,2,1,17,2013,654
773,1972,College,Married,33622.0,22,39,1,22,3,4,12,3,2,0,4,7,0,2,0,6,2013,81
774,1957,PhD,Coupled,6835.0,76,107,2,12,2,2,12,0,0,0,1,20,0,1,0,1,2012,137
775,1953,College,Coupled,41452.0,86,13,0,3,0,0,0,1,1,0,2,7,0,2,0,3,2013,16
776,1965,PhD,Single,40760.0,64,70,0,17,0,0,6,2,2,1,3,6,0,1,0,6,2013,93
777,1958,PhD,Coupled,74250.0,90,680,11,392,75,0,0,1,2,11,4,1,0,0,0,17,2014,1158
778,1955,Masters,Single,51124.0,79,26,1,11,0,1,4,2,1,0,3,3,0,2,0,4,2013,43
779,1971,College,Single,72258.0,28,522,0,522,227,120,134,2,6,9,5,2,0,1,0,20,2013,1525
780,1974,PhD,Single,71466.0,86,412,12,546,78,182,0,1,4,4,10,1,0,0,0,18,2014,1230
781,1976,College,Coupled,36283.0,42,6,5,5,8,0,5,2,1,0,3,4,0,2,0,4,2014,29
782,1970,College,Single,20587.0,39,2,3,6,4,1,9,1,1,1,2,7,0,1,0,4,2014,25
783,1972,College,Married,30467.0,8,1,3,8,2,5,5,1,1,0,2,7,0,1,0,3,2014,24
784,1972,College,Coupled,31590.0,40,6,2,15,6,6,3,1,1,0,3,8,0,1,0,4,2013,38
785,1986,High_school,Married,20425.0,5,4,12,5,3,16,17,2,2,0,3,7,0,1,0,5,2012,57
786,1960,Masters,Coupled,17144.0,96,18,2,19,0,2,6,5,3,0,4,7,0,2,0,7,2014,47
787,1968,PhD,Single,42564.0,28,324,48,186,39,18,198,6,6,8,4,7,0,1,2,18,2013,813
788,1978,Masters,Married,43783.0,22,327,9,125,25,4,139,6,7,1,8,7,0,1,1,16,2014,629
789,1976,College,Single,40780.0,30,229,27,71,13,3,34,4,7,1,5,9,0,1,0,13,2012,377
790,1945,Masters,Coupled,62847.0,45,521,168,706,80,76,61,1,3,6,4,2,0,0,0,13,2013,1612
791,1957,PhD,Married,82017.0,58,184,23,446,30,23,23,1,5,4,7,2,0,0,4,16,2012,729
792,1950,College,Single,16813.0,49,4,8,11,12,2,13,1,2,0,3,7,0,0,1,5,2013,50
793,1978,College,Married,51267.0,37,183,2,64,7,2,12,4,3,3,5,4,0,2,0,11,2013,270
794,1961,College,Single,46524.0,70,31,19,35,26,14,52,2,1,1,5,3,0,1,0,7,2013,177
795,1962,Masters,Single,45183.0,33,219,3,60,12,9,12,1,4,1,7,7,0,0,1,12,2013,315
796,1954,PhD,Married,70421.0,98,479,28,136,75,14,35,3,10,3,7,6,0,1,0,20,2014,767
797,1965,Masters,Single,60161.0,17,584,44,212,46,8,177,3,11,4,8,8,0,1,0,23,2012,1071
798,1973,College,Coupled,73926.0,54,627,91,597,159,91,15,1,6,5,12,3,0,0,0,23,2013,1580
799,1968,College,Married,19329.0,39,24,1,16,12,2,5,3,4,0,3,8,0,1,0,7,2013,60
800,1970,Masters,Married,61872.0,81,330,5,159,36,27,16,4,4,4,9,4,0,1,0,17,2013,573
801,1956,College,Single,46984.0,71,19,1,10,2,1,8,1,1,0,3,5,0,2,0,4,2013,41
802,1951,College,Married,34838.0,62,28,23,29,29,14,47,3,2,1,4,6,0,2,0,7,2013,170
803,1944,PhD,Single,82716.0,8,606,148,228,15,148,22,1,6,8,13,2,0,0,0,27,2013,1167
804,1958,College,Married,48192.0,76,1039,43,204,153,58,29,3,2,8,12,8,0,0,4,22,2013,1526
805,1976,Masters,Married,49681.0,66,411,0,26,0,0,21,6,7,1,7,7,0,2,0,15,2013,458
806,1971,Masters,Married,56850.0,83,34,1,19,2,7,0,1,1,1,3,2,0,1,0,5,2014,63
807,1957,College,Married,55267.0,28,161,28,136,32,3,45,4,3,4,6,3,0,1,0,13,2013,405
808,1972,College,Married,59666.0,87,623,53,178,23,17,133,7,3,2,8,8,0,2,1,13,2013,1027
809,1972,College,Single,72504.0,43,604,26,470,123,161,94,2,5,9,6,2,0,1,0,20,2013,1478
810,1981,College,Married,26872.0,0,3,10,8,3,16,32,1,1,1,2,6,0,0,0,4,2013,72
811,1972,College,Single,21359.0,1,12,2,17,6,1,10,2,2,0,3,8,0,1,1,5,2013,48
812,1975,College,Single,73170.0,1,184,174,256,50,30,32,1,5,4,6,2,0,0,0,15,2014,726
813,1955,Masters,Married,52750.0,72,393,0,239,90,69,69,6,5,7,9,4,0,1,0,21,2013,860
